"ID","AMPI__GEOGRAPHIC_AREA__R.ID","AMPI__GEOGRAPHIC_AREA__R.AMPI__TYPE__C","AMPI__PROJECT__R.NAME","AMPI__PROJECT__R.ID","AMPI__PROJECT__R.PROGRAMME_LOCATION__C"
"a0Y1i00000OfSn2EAF","a0I1i000004MM9AEAW","Country","Promotion des droits des femmes et des filles pour une société juste & équitable","a0i1i000002i5VhAAI",""
"a0Y1i00000OfSn3EAF","a0I1i000004MM8VEAW","Country","Reintegración de niñas, niños y adolescentes de centros de acogida en La Paz","a0i1i000002i56pAAA",""
"a0Y1i00000OfSn4EAF","a0I1i000004MM8tEAG","Country","Fortalecimiento en la calidad del servicio de atención a niños y niñas","a0i1i000002i5UJAAY",""
"a0Y1i00000OfSn6EAF","a0I1i000004MMAfEAO","Country","Promoting Village Own Savings Associations","a0i1i000002i5FdAAI",""
"a0Y1i00000OfSn7EAF","a0I1i000004MM8HEAW","Country","Sustainable waste management to reduce Child Rights violations-Bakoteh Dumpsite","a0i1i000002i5KaAAI",""
"a0Y1i00000OfSn8EAF","a0I1i000004MM8HEAW","Country","Youth Training and Employment Programme, The Gambia","a0i1i000002i5WSAAY",""
"a0Y1i00000OfSnBEAV","a0I1i000004MM8HEAW","Country","Sustainable Nutrition Improvement Project in Upper River Region, the Gambia SNIP","a0i1i000002i595AAA",""
"a0Y1i00000OfSnGEAV","a0I1i000004MM8gEAG","Country","Employment and Entrepreneurs training and programs in Cape Verde","a0i1i000002i5VWAAY",""
"a0Y1i00000OfSnLEAV","a0I1i000004MMA2EAO","Country","Strengthening children, youth and families for a better future","a0i1i000002i5DBAAY",""
"a0Y1i00000OfSqKEAV","a0I1i000004MM9XEAW","Country","Empowerment and employability training of young women and youth affected by COVI","a0i1i000006HUixAAG",""
"a0Y1i00000OfSqPEAV","a0I1i000004MM8zEAG","Country","Sustainable livelihood development Phase II Ethiopia (Iceland)","a0i1i000006HUjWAAW",""
"a0Y1i00000OfSqeEAF","a0I1i000004MM9mEAG","Country","Participation à la réhabilitation du Lieu de Vie","a0i1i000006HUkyAAG",""
"a0Y1i00000OfSyTEAV","a0I1i000004MM90EAG","Country","Make Dreams come true","a0i1i000002i5TWAAY",""
"a0Y1i00000OfT71EAF","a0I1i000004MM9cEAG","Country","QUAPEM - Qualité de l’Accueil en Protection de l’Enfance à Madagascar","a0i1i000002i5S8AAI",""
"a0Y1i00000OfT76EAF","a0I1i000004MM8yEAG","Country","Empower Target Communities to Promote and Defend Human Rights Issues ","a0i1i000002i5SsAAI",""
"a0Y1i00000OfT7BEAV","a0I1i000004MM96EAG","Country","Nutrition Project","a0i1i000002i5T5AAI",""
"a0Y1i00000OfT7GEAV","a0I1i000004MM96EAG","Country","EGPAF Timiza 90","a0i1i000002i5SyAAI",""
"a0Y1i00000OfT7LEAV","a0I1i000004MMAWEA4","Country","Sustainable OVC Comprehensive and Integrated Approaches in Local communities","a0i1i000002i5QiAAI",""
"a0Y1i00000OfT7QEAV","a0I1i000004MMAWEA4","Country","Better Outcomes for Children and Youth Project","a0i1i000002i5SzAAI",""
"a0Y1i00000OfT7REAV","a0I1i000004MMAfEAO","Country","Strengthening Systems for Better Health in Livingstone","a0i1i000002i578AAA",""
"a0Y1i00000OfT7VEAV","a0I1i000004MMAWEA4","Country","Parenting for Respectability (PfR)","a0i1i000002i5T4AAI",""
"a0Y1i00000OfT7aEAF","a0I1i000004MMAfEAO","Country","Voluntary Male Medical  Circumscission","a0i1i000002i5T1AAI",""
"a0Y1i00000OfT7fEAF","a0I1i000004MM96EAG","Country","Sustainable Livelihood for Vulnerable Families Support to 100 FSP Children","a0i1i000002i5QkAAI",""
"a0Y1i00000OfT7kEAF","a0I1i000004MM9cEAG","Country","Strengthening the protection of women's and children's rights ","a0i1i000002i5VBAAY",""
"a0Y1i00000OfT7pEAF","a0I1i000004MM9nEAG","Country","Emergency Response – Cyclone Idai for EIB","a0i1i000002i5FXAAY",""
"a0Y1i00000OfT7qEAF","a0I1i000004MMAfEAO","Country","Fast Tracking towards HIV and TB Elimination","a0i1i000002i5T2AAI",""
"a0Y1i00000OfT7rEAF","a0I1i000004MMAfEAO","Country","Effective inclusion for children with disabilities in quality education & health","a0i1i000002i59OAAQ",""
"a0Y1i00000OfT7zEAF","a0I1i000004MMA8EAO","Country","Sustainable Oral Health Activities in Rwanda","a0i1i000002i5TAAAY",""
"a0Y1i00000OfT8FEAV","a0I1i000004MMA0EAO","Country","Tecnología de la información y uso seguro de internet para NNA y cuidadoras SOS","a0i1i000002i5GAAAY",""
"a0Y1i00000OfT8JEAV","a0I1i000004MMAAEA4","Country","Strong Youngsters Nis","a0i1i000002i5FxAAI",""
"a0Y1i00000OfT8KEAV","a0I1i000004MM8lEAG","Country","Transforming the government system- alternative care and de-institutionalization","a0i1i000002i5FGAAY",""
"a0Y1i00000OfT8TEAV","a0I1i000004MM8PEAW","Country","Youth Empowerment for Sustainable economic development (YES)","a0i1i000002i58GAAQ",""
"a0Y1i00000OfT8UEAV","a0I1i000004MM8VEAW","Country","Construcción de 2 viviendas familiares SOS en la comunidad","a0i1i000002i57cAAA",""
"a0Y1i00000OfT8ZEAV","a0I1i000004MM8VEAW","Country","Capacitación a madres educadoras","a0i1i000002i57eAAA",""
"a0Y1i00000OfT8aEAF","a0I1i000004MM8lEAG","Country","Respuesta en emergencia: crisis migratoria Venezolana.","a0i1i000002i5BjAAI",""
"a0Y1i00000OfT8bEAF","a0I1i000004MM9iEAG","Country","ATENCIÓN DIRECTA DE NIÑOS/AS CON DISCAPACIDAD SIN CUIDADO FAMILIAR","a0i1i000002i5UKAAY",""
"a0Y1i00000OfT8dEAF","a0I1i000004MM9vEAG","Country","Strengthening families and children at social risk in Shuto Orizari, Skopje","a0i1i000002i58VAAQ",""
"a0Y1i00000OfT8eEAF","a0I1i000004MMA1EAO","Country","Niños, niñas y adolescentes recuperan y ejercen su derecho a vivir en familia","a0i1i000002i5AwAAI",""
"a0Y1i00000OfT8iEAF","a0I1i000004MM8sEAG","Country","Fortalecimiento de Experiencias Existentes","a0i1i000002i5BBAAY",""
"a0Y1i00000OfT8jEAF","a0I1i000004MM8LEAW","Country","Por una cultura del buen trato- LGBTI","a0i1i000002i5KmAAI",""
"a0Y1i00000OfT8kEAF","a0I1i000004MM8VEAW","Country","Apoyo técnico a la UDIT del Ministerio de Salud","a0i1i000002i57bAAA",""
"a0Y1i00000OfT8lEAF","a0I1i000004MM8VEAW","Country","Profesionalización de jóvenes de familias SOS","a0i1i000002i57kAAA",""
"a0Y1i00000OfT8mEAF","a0I1i000004MM8lEAG","Country","Familias Jóvenes protectoras Fase II","a0i1i000002i59EAAQ",""
"a0Y1i00000OfT8nEAF","a0I1i000004MM8VEAW","Country","Desarrollo de capacidades emprendedoras para responsables de familia","a0i1i000002i57dAAA",""
"a0Y1i00000OfT8sEAF","a0I1i000004MM8VEAW","Country","Microcréditos solidarios para familias","a0i1i000002i57fAAA",""
"a0Y1i00000OfT8tEAF","a0I1i000004MM9rEAG","Country","Una oportunidad , para una vida independiente","a0i1i000002i5CzAAI",""
"a0Y1i00000OfT8xEAF","a0I1i000004MM8VEAW","Country","Construcción de 3 Centros Infantiles Comunitarios Modelo","a0i1i000002i57iAAA",""
"a0Y1i00000OfT92EAF","a0I1i000004MM8VEAW","Country","Ampliación de atención a 300 niñas y niños en la ciudad de El Alto - Bolivia","a0i1i000002i57jAAA",""
"a0Y1i00000OfT93EAF","a0I1i000004MM8YEAW","Country","Industrial Cuisine - Saberes e Sabores","a0i1i000002i5KnAAI",""
"a0Y1i00000OfT97EAF","a0I1i000004MM8YEAW","Country","Womenpreneurs mothers - Empowering women through social impact business","a0i1i000002i5KpAAI",""
"a0Y1i00000OfT98EAF","a0I1i000004MM8mEAG","Country","My Family Project: The Best Place to Grow","a0i1i000002i5KqAAI",""
"a0Y1i00000OfT9CEAV","a0I1i000004MM8VEAW","Country","Protective environments for Children","a0i1i000002i5KGAAY",""
"a0Y1i00000OfT9DEAV","a0I1i000004MM8lEAG","Country","Nutrition in Ipiales, Tumaco and Quibdó","a0i1i000002i5KHAAY",""
"a0Y1i00000OfSyUEAV","a0I1i000004MM9vEAG","Country","FOOTBALL IS POWER","a0i1i000002i5TcAAI",""
"a0Y1i00000OfSyVEAV","a0I1i000004MM8IEAW","Country","Volunteer Readers in Albania","a0i1i000002i5WsAAI",""
"a0Y1i00000OfSyYEAV","a0I1i000004MM90EAG","Country","Close Together","a0i1i000002i5ToAAI",""
"a0Y1i00000OfSyZEAV","a0I1i000004MM9AEAW","Country","Sangue Novo: Bâtir l’avenir des jeunes - formation professionnelle et l’emploi","a0i1i000002i5ZMAAY",""
"a0Y1i00000OfSyaEAF","a0I1i000004MM8WEAW","Country","Support to the Development of Foster Care System - SOS Bosnia and Herzegovina","a0i1i000002i58CAAQ",""
"a0Y1i00000OfSybEAF","a0I1i000004MM9TEAW","Country","Access to education for children with inclusion - SOS Kyrgyzstan","a0i1i000002i5RHAAY",""
"a0Y1i00000OfSycEAF","a0I1i000004MM9vEAG","Country","Legal support service for vulnerable victims of violent crimes - SOS Macedonia","a0i1i000002i5BsAAI",""
"a0Y1i00000OfSydEAF","a0I1i000004MM9LEAW","Country","AYLAN","a0i1i000002i5VoAAI",""
"a0Y1i00000OfSyeEAF","a0I1i000004MM90EAG","Country","Programme to address reform in child and family services","a0i1i000002i5TsAAI",""
"a0Y1i00000OfSyfEAF","a0I1i000004MM9mEAG","Country","Prise en charge des enfants en situation d'Handicap","a0i1i000002i5VIAAY",""
"a0Y1i00000OfSygEAF","a0I1i000004MM8IEAW","Country","Now What - Preparing and Empowering Youth Leaving Care","a0i1i000002i5SBAAY",""
"a0Y1i00000OfTIPEA3","a0I1i000004MM8eEAG","Country","Appui à l’entreprenariat et au développement du leadership jeunes à Douala 3e","a0i1i000002i5HcAAI",""
"a0Y1i00000OfTIVEA3","a0I1i000004MM8lEAG","Country","Venezuelan crisis at the border of Colombia","a0i1i000002i5DOAAY",""
"a0Y1i00000OfTIYEA3","a0I1i000004MM9BEAW","Country","Education and economic Empowerment for Children and Youth in Les Cayes and Santo","a0i1i000002i59AAAQ",""
"a0Y1i00000OfTIZEA3","a0I1i000004MM8lEAG","Country","Ofrecer un modelo de acompañamiento para la prevención de reclutamiento","a0i1i000002i5UYAAY",""
"a0Y1i00000OfTIdEAN","a0I1i000004MM8tEAG","Country","Humanitarian Aid after Ecuador Earthquake","a0i1i000002i5IrAAI",""
"a0Y1i00000OfTIkEAN","a0I1i000004MM8VEAW","Country","Programa de Educación Temprana - Pasito a Pasito Aprendo con Alegria","a0i1i000002i5UVAAY",""
"a0Y1i00000OfTInEAN","a0I1i000004MM8lEAG","Country","Construyendo juntos entornos protectores","a0i1i000002i5UaAAI",""
"a0Y1i00000OfTIsEAN","a0I1i000004MM8lEAG","Country","Construyendo juntos entornos protectores","a0i1i000002i5UbAAI",""
"a0Y1i00000OfTIuEAN","a0I1i000004MM8tEAG","Country","Construcción de Casa en Comunidad","a0i1i000002i5UBAAY",""
"a0Y1i00000OfTIxEAN","a0I1i000004MM8lEAG","Country","EFEI Estrategia de Fortalecimiento a la Educación Inicial","a0i1i000002i5UZAAY",""
"a0Y1i00000OfTIyEAN","a0I1i000004MM8VEAW","Country","Entornos protectores para cada niño y niña (Segunda fase)","a0i1i000002i5UTAAY",""
"a0Y1i00000OfTJ7EAN","a0I1i000004MM8tEAG","Country","Comunidades Protectoras ""Ciudad Jardín""","a0i1i000002i5BJAAY",""
"a0Y1i00000OfTJ8EAN","a0I1i000004MM8hEAG","Country","Support for ERP CAR 17 by MFA IS","a0i1i000002i5J9AAI",""
"a0Y1i00000OfTJDEA3","a0I1i000004MM98EAG","Country","Promoción de la nutrición integral de la niñez en Aldeas Infantiles SOS","a0i1i000002i5CpAAI",""
"a0Y1i00000OfTJHEA3","a0I1i000004MM8tEAG","Country","Construcción de Casa de Primera Acogida en Quito","a0i1i000002i5UHAAY",""
"a0Y1i00000OfTJKEA3","a0I1i000004MM8lEAG","Country","Los hijos de la Paz: Reincorporación de miembros de los ETCR en Tolima","a0i1i000002i5APAAY",""
"a0Y1i00000OfSyiEAF","a0I1i000004MM9LEAW","Country","Calabria Accoglie 2.0","a0i1i000002i5VpAAI",""
"a0Y1i00000OfSyjEAF","a0I1i000004MM97EAG","Country","Establishing Emergency Accommodation for Unaccompanied Children in Athens","a0i1i000002i5S7AAI",""
"a0Y1i00000OfSynEAF","a0I1i000004MM90EAG","Country","Ylitse","a0i1i000002i5TXAAY",""
"a0Y1i00000OfSyoEAF","a0I1i000004MM9mEAG","Country","Famille d'accueil ""prise en charge alternative""","a0i1i000002i5UnAAI",""
"a0Y1i00000OfSysEAF","a0I1i000004MM90EAG","Country","Tukena","a0i1i000002i5TtAAI",""
"a0Y1i00000OfSytEAF","a0I1i000004MM8iEAG","Country","Protection de l’enfance et promotion des droits de l’enfant et réduction des VBG","a0i1i000002i5KdAAI",""
"a0Y1i00000OfT9HEAV","a0I1i000004MM8mEAG","Country","Development of Life Skills in adolescents in vulnerable conditions","a0i1i000002i5KrAAI",""
"a0Y1i00000OfT9IEAV","a0I1i000004MM9iEAG","Country","CENTRO RECREATIVO TEHUACÁN","a0i1i000002i5UOAAY",""
"a0Y1i00000OfT9EEAV","a0I1i000004MM8mEAG","Country","House for Youth","a0i1i000002i5KsAAI",""
"a0Y1i00000OfT9FEAV","a0I1i000004MM9CEAW","Country","Provisión de atención Integral","a0i1i000002i5BkAAI",""
"a0Y1i00000OfT9GEAV","a0I1i000004MM9iEAG","Country","Camino a la Autonomía (Becas escolares)","a0i1i000002i5UPAAY",""
"a0Y1i00000OfTSAEA3","a0I1i000004MMAWEA4","Country","COMMUNITY LED ACTION TO ADDRESS INTIMATE PARTNER VIOLENCE IN UGANDA","a0i1i000002i5DYAAY",""
"a0Y1i00000OfTSFEA3","a0I1i000004MMASEA4","Country","Projet Plaque Solaire Dapaong","a0i1i000002i7C6AAI",""
"a0Y1i00000OfTSGEA3","a0I1i000004MMAWEA4","Country","Promoting Gender Inclusion Across the Clean Energy Sector in Uganda","a0i1i000002i5FNAAY",""
"a0Y1i00000OfTSJEA3","a0I1i000004MMAWEA4","Country","Empowering girls for right Life Choices","a0i1i000002i5QcAAI",""
"a0Y1i00000OfTSNEA3","a0I1i000004MM8tEAG","Country","Fortaleciendo los vínculos de niños, niñas y adolescentes con la Comunidad","a0i1i000002i59tAAA",""
"a0Y1i00000OfTSOEA3","a0I1i000004MM9rEAG","Country","Conexión E - Conectando a adolescentes y jóvenes con educación de calidad","a0i1i000002i59kAAA",""
"a0Y1i00000OfTSTEA3","a0I1i000004MMA1EAO","Country","Educar es prevenir","a0i1i000002i5AGAAY",""
"a0Y1i00000OfTSUEA3","a0I1i000004MMA1EAO","Country","Towards an inclusive and qualitative education, valuing diversity","a0i1i000002i5AMAAY",""
"a0Y1i00000OfTSVEA3","a0I1i000004MMA1EAO","Country","Educación digital para niños, niñas, adolescentes y jóvenes","a0i1i000002i5AvAAI",""
"a0Y1i00000OfTSXEA3","a0I1i000004MM8sEAG","Country","Communities for life: humanized maternal and child care","a0i1i000002i5AdAAI",""
"a0Y1i00000OfTScEAN","a0I1i000004MM8sEAG","Country","Children free of domestic violence","a0i1i000002i58ZAAQ",""
"a0Y1i00000OfTSeEAN","a0I1i000004MMA1EAO","Country","Mejora de infraestructura de hidroterapia para personas con discapacidad","a0i1i000002i5DbAAI",""
"a0Y1i00000OfTSfEAN","a0I1i000004MMA2EAO","Country","Lograr una adecuada reintegración de NNA con Padres privados de su libertad","a0i1i000002i5FYAAY",""
"a0Y1i00000OfTSiEAN","a0I1i000004MM8mEAG","Country","Servicio de seguimiento técnico profesional para familias del PANI","a0i1i000002i5AnAAI",""
"a0Y1i00000OfTSjEAN","a0I1i000004MM8mEAG","Country","Adéndum al proyecto: Elaboración Informe Alternativo de la Sociedad Civil 07-15","a0i1i000002i5BDAAY",""
"a0Y1i00000OfTSkEAN","a0I1i000004MM8sEAG","Country","Preventing violence against child through parenting skills development","a0i1i000002i587AAA",""
"a0Y1i00000OfTSlEAN","a0I1i000004MM8sEAG","Country","Supporting to Child and Family Violence Prevention Strategies","a0i1i000002i588AAA",""
"a0Y1i00000OfTSmEAN","a0I1i000004MM8sEAG","Country","Por una familia libre de violencia intrafamiliar","a0i1i000002i589AAA",""
"a0Y1i00000OfTSpEAN","a0I1i000004MM9iEAG","Country","Familias de Origen","a0i1i000002i57UAAQ",""
"a0Y1i00000OfTSsEAN","a0I1i000004MM8sEAG","Country","Cultura Cívica Digital","a0i1i000002i58AAAQ",""
"a0Y1i00000OfTVNEA3","a0I1i000004MM8oEAG","Country","SOS Kotva Brno","a0i1i000002i5W9AAI",""
"a0Y1i00000OfTVOEA3","a0I1i000004MM8oEAG","Country","Running and personal costs of a new FSP office in Prost?jov.","a0i1i000002i5WDAAY",""
"a0Y1i00000OfTVPEA3","a0I1i000004MMAAEA4","Country","Youth Empowerment and Entrepreneurial Revolution.","a0i1i000002i5CAAAY",""
"a0Y1i00000OfTVQEA3","a0I1i000004MM8PEAW","Country","Public Education Support Program - SOS Azerbaijan","a0i1i000002i5QuAAI",""
"a0Y1i00000OfTVTEA3","a0I1i000004MM8oEAG","Country","Running and personal costs of FSP in Záb?eh","a0i1i000002i5WBAAY",""
"a0Y1i00000OfTVUEA3","a0I1i000004MM8oEAG","Country","Running and personal costs of FSP in P?erov","a0i1i000002i5WCAAY",""
"a0Y1i00000OfTVVEA3","a0I1i000004MM9EEAW","Country","FSP in Orosh? and Battonya - SOS Hungary","a0i1i000002i5NJAAY",""
"a0Y1i00000OfTVWEA3","a0I1i000004MMAAEA4","Country","Strong Youngsters","a0i1i000002i5CBAAY",""
"a0Y1i00000OfTVXEA3","a0I1i000004MMAAEA4","Country","Innovative youth-tailored training modules and curriculums for NEET's group","a0i1i000002i5TeAAI",""
"a0Y1i00000OfTVYEA3","a0I1i000004MM8PEAW","Country","Second extension the Project of Day care center -SOS Azerbaijan","a0i1i000002i5LHAAY",""
"a0Y1i00000OfTVZEA3","a0I1i000004MMAAEA4","Country","Establish The Centre for Family Support Zemun - SOS Serbia","a0i1i000002i5OjAAI",""
"a0Y1i00000OfTVaEAN","a0I1i000004MM9vEAG","Country","Introducing the Social Contracting model in delivering social services","a0i1i000002i5OHAAY",""
"a0Y1i00000OfTSxEAN","a0I1i000004MM9iEAG","Country","Fortalecimiento Familiar. Familias vulnerables en Tehuacán y Comitán.","a0i1i000002i5A7AAI",""
"a0Y1i00000OfTSyEAN","a0I1i000004MM8lEAG","Country","Fortalecimiento del servicio ""Creciendo en Familia"".","a0i1i000002i58XAAQ",""
"a0Y1i00000OfTT0EAN","a0I1i000004MM8lEAG","Country","Creando Juntos Entornos Protectores-Cundinamarca","a0i1i000002i5ARAAY",""
"a0Y1i00000OfTT1EAN","a0I1i000004MM8lEAG","Country","Reintegro familiar de adolescentes y jóvenes desvinculados de FARC-EP","a0i1i000002i57OAAQ",""
"a0Y1i00000OfTT3EAN","a0I1i000004MM8tEAG","Country","Fortalecimiento de los Ciberderechos  de los niños, niñas y adolescentes","a0i1i000002i59uAAA",""
"a0Y1i00000OfTTDEA3","a0I1i000004MM8lEAG","Country","Subete a la Nube- En línea con la Protección","a0i1i000002i58RAAQ",""
"a0Y1i00000OfTTEEA3","a0I1i000004MM8lEAG","Country","Trascendiendo Barreras: Reconciliación y construcción de paz","a0i1i000002i58WAAQ",""
"a0Y1i00000OfTTJEA3","a0I1i000004MM8lEAG","Country","ICTedu: Educational and life skill tools for young mothers empowerment","a0i1i000002i57FAAQ",""
"a0Y1i00000OfTTKEA3","a0I1i000004MM8lEAG","Country","Brindando Espacios protectores para la infancia en Mocoa","a0i1i000002i57uAAA",""
"a0Y1i00000OfTTLEA3","a0I1i000004MM8lEAG","Country","Creciendo en Paz: Entornos protectores para la infancia en una cultura de paz","a0i1i000002i57vAAA",""
"a0Y1i00000OfTTNEA3","a0I1i000004MM8lEAG","Country","“Mud Woman”: Empowered women affected by the armed conflict in Tumaco","a0i1i000002i59BAAQ",""
"a0Y1i00000OfTTOEA3","a0I1i000004MM8lEAG","Country","Proyecto Transiciones","a0i1i000002i59CAAQ",""
"a0Y1i00000OfTTPEA3","a0I1i000004MM8lEAG","Country","Estrategia de Fortalecimiento de la Educación Inicial","a0i1i000002i5ASAAY",""
"a0Y1i00000OfTTQEA3","a0I1i000004MM8lEAG","Country","Construyendo entornos protectores en Cali","a0i1i000002i57IAAQ",""
"a0Y1i00000OfTTREA3","a0I1i000004MM8lEAG","Country","Acompañamiento técnico para la dotación de espacios lúdicos en Cundinamarca","a0i1i000002i59DAAQ",""
"a0Y1i00000OfTTTEA3","a0I1i000004MM8mEAG","Country","Academia de Crianza","a0i1i000002i59MAAQ",""
"a0Y1i00000OfTTVEA3","a0I1i000004MM8sEAG","Country","Apadrinamiento de casas de Aldeas Infantiles SOS Dominicana","a0i1i000002i5B9AAI",""
"a0Y1i00000OfTTZEA3","a0I1i000004MM8lEAG","Country","Construyendo juntos entornos protectores","a0i1i000002i57sAAA",""
"a0Y1i00000OfTTbEAN","a0I1i000004MM8lEAG","Country","Scoring goals for peace in Colombia","a0i1i000002i59gAAA",""
"a0Y1i00000OfTTmEAN","a0I1i000004MM8mEAG","Country","Diseño de un modelo especializado para jóvenes","a0i1i000002i5AlAAI",""
"a0Y1i00000OfTVcEAN","a0I1i000004MM8PEAW","Country","Prolongation Yevlax Day Care Center - SOS Azerbaijan","a0i1i000002i5ZsAAI",""
